Subjects,Group,Condition,Alpha
1,CTR,MW,49.8097034454
2,CTR,MW,50.9410667419
3,CTR,MW,44.1860210419
4,CTR,MW,41.3573913574
5,CTR,MW,48.6854701996
6,CTR,MW,47.5189094543
7,CTR,MW,40.2379924774
8,CTR,MW,41.6677639008
9,CTR,MW,42.733649826
10,CTR,MW,42.1074768066
11,CTR,MW,48.5794578552
12,CTR,MW,40.7230396271
13,CTR,MW,48.940946579
14,CTR,MW,45.8527667999
15,CTR,MW,45.1326637268
16,CTR,MW,45.7881755829
1,CTR,MED,43.7675132751
2,CTR,MED,51.471282196
3,CTR,MED,44.0944576263
4,CTR,MED,41.3601596832
5,CTR,MED,47.0180210114
6,CTR,MED,46.3532302856
7,CTR,MED,39.8140945435
8,CTR,MED,39.1465408325
9,CTR,MED,42.1563209534
10,CTR,MED,42.7689311981
11,CTR,MED,48.0931468964
12,CTR,MED,40.1497097015
13,CTR,MED,49.1673782349
14,CTR,MED,44.5363319397
15,CTR,MED,50.6557201385
16,CTR,MED,45.9002002716
17,HYT,MW,43.6172561646
18,HYT,MW,42.8115516663
19,HYT,MW,39.2231403351
20,HYT,MW,39.3441772461
21,HYT,MW,42.1693466187
22,HYT,MW,50.6425060272
23,HYT,MW,51.1863754272
24,HYT,MW,47.4269882202
25,HYT,MW,45.6576061249
26,HYT,MW,41.6909397125
27,HYT,MW,43.5748889923
28,HYT,MW,42.7835868835
29,HYT,MW,44.7619308472
30,HYT,MW,48.2832633972
31,HYT,MW,47.80679245
32,HYT,MW,38.7082157135
17,HYT,MED,41.8615604401
18,HYT,MED,38.2812156677
19,HYT,MED,39.5922389984
20,HYT,MED,39.8766937256
21,HYT,MED,42.157101059
22,HYT,MED,51.7081878662
23,HYT,MED,49.7697052002
24,HYT,MED,45.3706226349
25,HYT,MED,46.0987014771
26,HYT,MED,41.8915157318
27,HYT,MED,41.6752883911
28,HYT,MED,42.3511741638
29,HYT,MED,45.1962619781
30,HYT,MED,47.6246959686
31,HYT,MED,49.283562851
32,HYT,MED,38.7185935974
33,ISY,MW,44.7316970825
34,ISY,MW,43.7459365845
35,ISY,MW,42.5753288269
36,ISY,MW,51.3297096252
37,ISY,MW,49.3894950867
38,ISY,MW,41.0000946045
39,ISY,MW,43.0042598724
40,ISY,MW,43.2505516052
41,ISY,MW,44.925246048
42,ISY,MW,50.8535758972
43,ISY,MW,52.0007900238
44,ISY,MW,40.5778842926
45,ISY,MW,39.2402099609
46,ISY,MW,45.9348220825
47,ISY,MW,44.8115840912
48,ISY,MW,38.5357357025
33,ISY,MED,44.6034011841
34,ISY,MED,41.2798713684
35,ISY,MED,44.9385128021
36,ISY,MED,47.3134143829
37,ISY,MED,52.0497081757
38,ISY,MED,42.1052711487
39,ISY,MED,42.5792388916
40,ISY,MED,41.6403659821
41,ISY,MED,48.7653766632
42,ISY,MED,45.3225921631
43,ISY,MED,52.0105438232
44,ISY,MED,40.8908374786
45,ISY,MED,38.885577774
46,ISY,MED,45.3914058685
47,ISY,MED,43.7382862091
48,ISY,MED,38.5146087646
49,VIP,MW,44.4789272308
50,VIP,MW,46.0272026062
51,VIP,MW,49.393870163
52,VIP,MW,51.3016990662
53,VIP,MW,50.6529716492
54,VIP,MW,40.3860004425
55,VIP,MW,45.6777523041
56,VIP,MW,48.4598110199
57,VIP,MW,50.4421508789
58,VIP,MW,54.2995483398
59,VIP,MW,52.7974575043
60,VIP,MW,46.5127113342
61,VIP,MW,50.5254562378
62,VIP,MW,41.9987255096
63,VIP,MW,50.0014530182
64,VIP,MW,44.7591537476
49,VIP,MED,47.6238517761
50,VIP,MED,48.4188014984
51,VIP,MED,49.5006839752
52,VIP,MED,51.3605171204
53,VIP,MED,50.502589035
54,VIP,MED,40.6713363647
55,VIP,MED,46.378578949
56,VIP,MED,48.5633960724
57,VIP,MED,50.9932342529
58,VIP,MED,54.4522354126
59,VIP,MED,52.9277030945
60,VIP,MED,47.0338180542
61,VIP,MED,48.7572040558
62,VIP,MED,41.3812168121
63,VIP,MED,49.4687744141
64,VIP,MED,44.3237083435
